,name,price,img,link
0,"Dell Latitude 5490 / Intel 1.7 GHz Core i5-8350U Quad Core CPU / 16GB RAM / 512GB SSD / 14"" FHD (1920 x 1080) Display / HDMI / USB-C / Webcam / Windows 10 Pro (Renewed)",$629.99,"data:image/webp;base64,UklGRl4eAABXRUJQVlA4IFIeAADwgQCdASosAb8APrFImkekIiEVvF1MRAsE9LbicZ3Ur0G0t3gouPL7Nh3YP7au8/9tv+ewIO0rspf4Pfb81tRTF7tk9//4/oL+834nzz5tf0ux6UCvKF77v7X6h/TL9GBnvPEuyrP8DDFoQ3rIoZxsW9boAEAcYcMC6WPy2yVcG5SPJXKTZTl4RZYgkhpjrlwiOP32eK4ViBsygFN5NaoNrO/5QG0loq1JURTQPbuTQs7SNo/aANBvKNHqOTbnT9s2L6IzyANnIzAzlyxZeCd5dMAK83anICQzqMAruH1Dg5WpU/xz1nmVDDaJZpcxi3J2zG/5Nk5WC05c1EJTWs7pM1GkdvUWArd+M7dEjZrtxyxyZvgaU8bEI1YkKu/jwqDEMYJwU8eE+dqz57X+G8TsMATLv7coLkUkWP0fnB2+NCKfLXW/a4aLtRxnv1czhZg6h041V2L42vVhStQEYC1TCaRDva8p7Ml2hQ964uT2pTZpvN1V5Yn9OrSaRx8QwDgCgjUE975TCAAcNihUOvH6tOYd4iLEEWJ3bCTxFczxGiXj/8MwZabf1vmIWyLQLi1OSdVSjVmsCGxFZ4/uYhfe/z/GHAjexIxGGkw4LBTcI54F7dwsynejFlCx7qp5niPXzhEOGRY8i6D74X3bXSTkGIRdjJArHphMJ++Wxgo4alobhIcSEmX+AiMw65rQvMYigxXrHHuhPKQ7PprXTCpm/pE8x7qqDNMFk/2v/Uo1ZwRp8ouvXPEj/MORt1hrwgp5WSQtnpJL3NBov9ndswkxQuk9iADvgPRZLSRoLdFRnhvXO45+WlCYJ7Nbi+OoA1bFr+mt/CIC9+ensZjl9mlU/FT3+wQLF2fqdZmmpB/m9iPE/n/fSMPbsrsxJKKv+XvPNusOByXEs13N18HQWUo9y2XBn3CvM6jKZI2QL/VlaNcKbLyGoxyl+ZoRjTMh2pVuJDPXjRrV4zSFfX7BnrGIDhY/PR///tjKEyIkU5gO4z0SZ/dQphy2MFX3E8WhkskvLMMpzh9oRXi1pSi3Sp905ZPJdmSKg+46YlYmVg2zf/vtfbqVmaEZKF9HC23etvnDaDhjvne24kXSqohvhtX1vJ/70dsZBJ/I5VDn+JDSO/bxUqxmdxArdBVHbl+AsoyT1ILmFLx3DOEzWtkhiHn7UOihd1EgHGgYy4pLOlOIlhZ+uNm3EzkvczCamDmRwnSmZQA7nJhLruX4SucHh4Z0+X3yhex4aG0CiBD6OstpZLJUJ0aiSO44HHMbnVmDYQKy7HSECF7Ugm7DB3VNNdjztb2uU0MvRwvFcrzV/Yg03mv/lpcYmWdqOaKHhs+35YNYdZJjs+oVcGyY2xMgE1LEW9Th6LjlnwmLgPYo/2DvB2oZb5ZO1+KAAP79wLT5il7/vVtlYcbq3r3yvLfrl/+SRWf/Bs87dy5/dMpm6Ibs3SQCYYuus9FIS4MegKMBbE2f6pIksLDpX8u+phj1mvytaJ+jUnS8VtLxVVQ5E4JmxEicHGzzJ4pPexTraAHsiUuARA9WGiiDqyw4uGkUoHKBHpi6AUZlKU9tpLve0wgfh22Mrx7aXHAq3Pvl+q002M9Y27IqVIv9O2QrNnYjVOTNl0Fd5U1lj8z8m0ajfBTPouUDucQcLHRswnWzdKoAR0xk27aXzP6+Ic81hcl/fsAA7HUxRxFQNwfKQwORf6rgWNZoVsmtEYD2nD6oJrcrBmF8Ex4Cb4PJPRz4sCdB7sUqSkEQ8izNbHi1UVEczOXq7rUwH7QrWSGwp3EmkMyzRwEMtakLFNe1IvjOC+GqHINjqzEg1WM5MLwdbfhBgbZik5TzICNSbxO8oXNdwu6co+kbMZO0699C/1HJL+aZX2n4DzQt0oFPKQRXNFeOL/Km0kAnHx93lk8PCh9h5zH//GrUqa7hTyhp1LSBbJMgzdkozjx8i0XA0knU1tK/SNj0e9Q17fzQjtarXw8EJB4pBa1sztiM3QyUNWeqoM2NaiKIZ7Ym0vOT2A5KN1mNsbCPPFLstEz/YaCgfx3u9aaGtLkAdLEKVNCAnTonGrCHgHcvuNvdPgF3vlU18XFJ8RmRqxG4R7q3t+sw3wNwR0ZNa5/SuLPWVVIr46Ba1aaKcTqldS6saYtkd5Y/W5J3gXy6uqeg6hxqn2vr4bnGP9AoxMehIJyKqJZUKS9Tzq8aQyqIwEJvZqyd9W3n/VH1YMBnOy9DnX93aSJxKZiRNEWxPi8maAT9iRv9NSfmw5JwU2ADXoqWwEfyy7jK4TQeLg+ElPev3MOJcua5xANiS9klpHb9kq5SCt8nEbBNUbMZV9dYVHji8Yx+Kv+a/dHNpuoloZeZ9b7Tsl/T9Utj61r7Tc/wMYfPXJJvLyR9/NKUBQBo/jp1jbxgyGsUhfpzaEIPoO+DLziJ4j3z3powa1+XOgIoj4Vx/izYpJJSO25lm252sI+1HX1F8isr5bSIkN7qm1m8O8cV2QRWejtHxZ1P5QdogPtAftwX8LDdfHIpVhVigTl2VoP7T1HhiqxD3AFxiFLE987rOAwBvavFjLhm7GW8zULro28zl6wWoA0k0VaLNzDQnDyo83IFzYqZHnZ1uegEiHU45tefxXdbBQ2KTwX2M16SuPIYJ6F/aNuJWZ70NBVpea4EL7w+zbL0bsA6DzOqZ9wAuYqdAAzGYq6TWEX0kQ1jpje9jNgXOxigGdAzgbuK2m//YmBxCdF8BHESxNDC+rOuteYudYQ+Fnrt49LFHL2qqlbM+F6tk4tVzmw0uGfybwpCiODC9dCaNtyh1uFRBXE202iZYPO2eFpt3VYF3nGr5zDUJlcWC9I2Ur619k8lkjua/sNTBWvlv9AozeaXwOGO4GxFi863HIFdMlGgXKU9Nufwxcm/SJXXioq9FodES2hpC0KreVAWiy7CYGvsuLYqickPL61oJdVm6fxXPDjuYqXf8RimA6KGBR7M4SaMOUN8f296leNgqvrXzDds6T8llEg6XnDBRb4Zby7gu/GIAigEjqxPi5ScAmz6dA7ipve17odSCYDHRciEcQryx0A+mk9z3q31bDOui3tHgu2zhyT6mwGrouRR6hDUT6p/bU86MqshH1bdgq3kYMss5aBWV31H15zT3EvxgP4WO+J5nynCsfoId+xCscDWSoZItHCG23nvjur3WzOtzjhaPiOqRhRjfhC3XdWCp+Yb9dTCpWQXCM/yJw/mer2bl+up0BIG8L7GQrtqUZKrgno5K6ibZw5mK5cwmAUV25XEyp1+Uk8DD15bs4wDN11JQvE87BT2HlCmWETgu+0iv5KFyJoj9ywUeuXYorezZ1EbUCniznOoUk6W1tH9GKS02Kgatt3NJbiPH3WD9BeQhmZ7zqD+v5c9mxpzrCqh8gJL73GTVVzrb9hLBQIUmrmAWUmVWa/AE7LDyZFOgZ7SVvqnimbvpGkVHBPNhconYZlBAu3679ySqhx30bzaHPX3aoUplZeVKCcqwa+WRi/HO+ZhUZWJV14A9nkzmYDEH6oLxi7QClMfoZyr5kQHBDUKSOi7KqRPZMLHuK14jgK+jkkdY+Cr4bS+f9rfi5jb8XZfWqzKiRbXeHBCzCY09/5FojVE1q/oPdD8D7rR+7dFeyahKCKWyW7mRYZu9ddN/+W2/CumIrVqdFJ37JyqrYaV2K3PzAeFhDNQED87cdI7iS6X6IzWiXh9zlAQCRZmX5hmA6XbaNf9pUBHOMH1iZzdenTITzz+XzuXmWJTB21X/xoeuSnvf6CMPigmb6k3/lvUXpqFnPxA08npJiLRsYDO1PBdZfClhstxK8Z1ba9pydZzlAB9qnxNY41ObC/CgbN7/whEFaQsjDiEJ39L7dX2hZrPMMSPhMzSPxJcL8iwdzq94xtsvgz9+DX3pqlI39D45Z4EEm3c395Q+EuhYl2xHkZDQy3Amdx14glFlmazrVkRYEPLBHzNKzFtZs6EhHnnUjPM75IAyMqTwnwNyDFwts9Qh4PjzXkGgMj2pRXCVKD/S+HNRT0PTtGtGpcaav5wmnt2KuQOoXP65Rj/+dAZLEP41i7BWO45m6OAIOFRA9LjnCUGmdtxbBGv1AO8rcY4Yg4VajSLXHDR+s+qRDv/F3OCE802Tbdr3PpYx7Mfxx/hRCO99oUbliTKBwjZvhVjH9IeNqv5snHDVNEWN2sO8/8W/3KbQONzqXLIpFgBELrAtJESiuFN9ATIEnJVSyovvpYouwP6pq4kTIURdgWdr+AMAH0YCfUwNFf8mX+MyBfyaVb5GkyFoC2b/pq2U2AXKe0f0GY32bQfQ+JmpG1JlfE52A0UNwG2ssEYCQWeF5TWMVHtKbHhaJhqP1DRNHFQU3huQaiVdytXUY8dlrhOEYwIQXDFjh9x+vhvh4A6drTpmKoMLje28Prp6FVU2pCcSkfcoGrnnL0YO1HtpVvp9unQESQkBExWPf3aZ96qifRW8J+wuDzMxc2ml/FYkaSJVG1MX90H8SbpDXhbFAU5JLV2EQ2t3ojJWshRgVxsgbXPvaI+wywo7tC767IaELLNMa71q1qt2PyA586OHL4CnJYEcCcQiDsrSCenY64iND7BPKpTjv0r9OPXP5koTGMXu6CAG9P9NOl1aXm9OPVaKEOiBriJ0VyxudQqVQv7n8PAm/ZLjsU2O1dyMzfgSlcirRqKzOk8LPc+UDUS7mVUFsiRCXR/1YNfAO480T5HIA5lsaNCXOW9tQqp46HHoH5wtqcchyaJmAo1OKy7SzTYuXwORfXa1ZUDRj0ZDS/kaSMozhp/0o7fOMcI7KxeQ3nJ+npnDVB8s5kc3Wpk8h/9XTd1pgzOPVmE4ndyYxxaMY3WssjVk0sqt/GjY73xz7S0UJmFNvNFBJmQFKxYH0n5eDSta+hW/oPm1kh5lkivWA4P2gqeD/YFoPLoCSZ8aYzp2/O8i8rGnEYMfB8OjkVuivVzs4xWhH+SPZNoU7H0CQzhRCrTjxjiGOuGdnJIxVcHcGpT//OuCgp1hO3ZuOUvceQ4HmDrnMRB37LZUwIBqJ+utpidxdnuvqtRDOZeWBspgIBzyJ3//VZlCwZTXv2pYadhkdOxHbw8OeOxY6lq1bsctt1MCUvMUPdxTKu6QmcVQwrZ+OlffCuRGZNzQQ5Tue5AgwH9bMg8MOpXL5D6t/HL4zbCVGEaf8DPTpvBM9yeQvbn5OAONs1Sm00jiFDpUseTEuvUxbg5qwQ19NJmARqko+wNv9scU0XhJViowB76F1im4Ah+oNA1jC8/Oak/4EPkglOItLui09tgnz360QpQN6n0WjlAfgDU5r3zOxkxq0BGlP55pntN+hCjfpqMR291g1BRndXPy0pcmvWWbdyBgPRIzqXoXzeVbFNj4xxgQ6MEFDdz8Dk6swb68p43lcB8dEb+tuZqeg0FWhV89gZWfwLJ9EmnCPyw0sc8tR/i5E7eNVTHlG2jViwx7OktNG3Ti3SYcEtQdx5ve4UoAYRYpZAmO2OfFomeFBUBhhHhQ2gRq3QBAt2Z1Uwp6cl/jzD62Vq4uZZR5/oVIZdAYvJOl5niQJg62gPpRjSUGH/IKrEEVZum/oitG2+C9jbLDp+C9yBza0d2eZlh8OFmSA2yNW9enzvbidPQVFEcvcJqDc5dPCo/4ZrlZfdX8WTzMbcWy675Bq1kf+3F4yQraQRQUBcm+v8WGzNEk0PxGCN3QwWW7BPmrKAcUfLHUT/t6d978BXxGwMfnB6GDfLuCKnj4sTuK9CXF2HZTJPm5JvxooxLw1aWZmjOwVb744i4I0ixfZgQIEYPiNFLSPmv9XOsSf9GRsBAu6F97mlJpVKv2xdEyurVnBkrYJ1b5pIj0NCmQrtGR8ukpudDAavKRQp9Z/upBqH9eAwkp9JIPHEszyjnuSImEsl5vjuK1ZVveGJywhlmwAA51ZWauJe9lHJ6nJWa5+pyGaU9MdTDYTwufKT/Z55X66bI1rxoNE8whScYYlO08qs1JokNeBcmqGAKnw8x49ex5BWrhiTqnn1fLovU69xe9SbMzRSk7Z2Fv6QRQA/q88O1sPKKmisB9hPzpHjhQ00k5bBDuPM9Lizdmw29z4CAc0qCPek41HWXD7S/vOGT0eZPXLkYCBevEkXt5Qic+KsbxdE5WFuEsnP4w/FraBwxqPwIoYWO1vcuq6IpBQgdfeztZ3jGzIM2+RDOKOzxNV/2gTzGFFjM0/w6dasScSODA3KLPzBZl/4ufdjGcifxCAeqUzFRP6YaWHuXb1IEHn4KA5+d7OwFjUDw5jS27o07+JB92X49rWpmQdZtLKNYyr0m0Ly34QF5KXdy6VfCckNnkKRqPoPofZ5kMiv6IZjGJ7ByVRVffmMRAnm4lpar2JJVb/NVPHLUQqJ+ZpcdF2BZLH63rWKSyMMVTE73ATrHGjlcobSvHHuLXRQZQ1NfGq6BUvXmShjUhYOJIkR/hwL9K/1RFNUyyojTd947jokvFzw759pOblWy1lYk4SIneOy4xU6ZJUQjxcZbAObQE3MGuAcZVtopTiiLYxHkhJc6Xs2bS73gBcUzpo5piL8g1/Q4Q1XncPrLHGuHpznxrMqHyV2ynbO7gZlqJyQdLUGFxMdHAGwI+rd7+DrR1K8+N7zF2+S+FwfbJacfDUuY56sVcWdBZfCI5HP/0utH1xxLGbg258oKXtvi7qK/JcCgew1JAaHxsA2MeNm6JqL0tDD8c2I6Thqm/j2pdRoDu9pPqit39b8AwFzFQPe/jlLmCbFTAfs1+WNopETG9RUq3sWjKRDk9grgBr13r6ykrd6H2terlme6NkuwaqH6WICKHo37nj8uzOI7NhzQIWN0fZMEggeXGe9sAL4rjbko/uPpNLWcRl1IXk8fvM++/Rzm4MNnGLM8oHm17i6znG1B354gfjhRookbzlHOV9W1XF+fXfVvcroGmcGYjIeQI4n+HOjwfOdbdhfD8tpo/gi/LQZNKhj2NZMuCjbqnVPTa+f8LvxwLhBObgAWkdWhwz+agsLVt3OrF3041d1bSPGqOPzrek5BWJoqYATkjJ1Um7VSBGR8+hhL1+NA4vFIEaJ94crjeizAvmHcEH6TKUWuf2VW6TbJcfkw29S4qjVPpU+8Ndu39XN3zBuSEByiy1AudxRAT4+gy1C86B0ssr6bHJOoeyEsjdWoC6QuW7tENhjxVRErfCr2qrqUhIIwGTzTquluSTc+R53AtlhkWGZbo79p489Gk+L7MlBDkNuX9pFLiZnq8zryalswZRb+1lk3VBFTG6Y+PpjrNHMEH+n5CV0+rZO9rPJeHNfcWByRZizQjY8mFLOJHbno5tsLw9lBiBIjrSUxGWwbcmbAFWXX0K4hS5OFyz/ouXFsB0vnVLvJcBEGxOIZZ/dBQsEV/SI9ZSBOJDGHZ4dHJKvINBJjOCNFdpv3yRLC6uNHBeSyBzVLfjvftk1he9L831PJTC/heEuZWM3sKxFkPcDjJ+ILfBLRAbN5744ZQx3ceB1I7S1HOTAL7BSgx67MkRpctDHjHtIhzqVqfcFttsrMb3X5p3/gYLpQVCoB0br/McPT81K7iGlj3LWMBPK66sHRoqF118bprszmMMZekkunR2qvwkU3xHCNnq2ZW5OJbiWQap1KFb5u1XSS2Hq6a94fAP7lqmqCL0uEm5jg+LnIvFh7tqXNVGTEMJVnFAXlEM3ngEMCDma/bQCLT9g2qspJoKDRJICsWxTCDuv3ut2Y9FUXvg+QmqaSOjtXZIE2SYsDn1KT65uFFbTMLxuiaVvQJZyyQ5ChTxoYK+ZFtIMz4aCTH648nr8qO3IZfw4MceKDbmV5KwBY6EROlZ53fZU0dyglYh/fxvToi+B0QwBvbjNNRAGSMxvi1QFiwCP1NrTCfdpzAg/4KOi0lrpjc70tAtx3iD2C7d4lMisrGv7zI3kI33NakaqXnYzUq5ZZIiAzvGXBAO8OUTtfYG1YA4vXPoIRqGXGw8fkGmIIyoHeY/jS0AaWA5KACdfNdzo8VCj3Z4ZJevhSaiqf8htv3yNzAWNzAYW/Gw4OThWoA6PmxzB9qMCfyjSffVcVhboLx8JWtjl0QzOOb09mpyYbBOoXewrM1bYsFIEIDcGnQXJjiLBS0TXV68kFyKLrZ1fGL5hbGp/3xVjQspLhaepNEpAtwubHXcdA5HNrCXbPczCL09wGJp+GZys1FffPsobbFh9nVONRdGWXhm2fXFlZCvaQjqfdvvBe13ezrKo1RLMbF9Vlm6iBuK2IeSKTLSuPpB+9YBMYJAeURorJoqgifyCfspmfsZhtcvKKPuhYWEAxZjkUwHgJj3L6/z//3A/+tHynlNDpzoatw2KCeetvLFmZ8MGkSPG3tfva23TfIRuQe4O5MowAv7GkahZtOUw71vFcqyqruYUb13R6Zjdh8WMQcJnnDnZIPvaebCvFMcnHtgotgf0TjBS8jyHBgtaeOC8hWm9QfzGT7oqQjIO7lq6SuiPIuiUPrZngHRErpWaTQXwKzRnbSyxMhRffd8mmg77BXYKwNv7dg7wmTeSB1AvHvvUZdZekTcOSvYuQ44C5VkmPVeMO8lSHGoFgoJh0oQ88yBvwMhdDt5PXdrbOv638MqSpWmrCKWo7t5Y8lCwku3OxSk6KpNexEexzI1eAhcg+Wiq/MvSDekiwokiHhwv5zW05ptDbmltODKeosrD1AksxhWkpO48yr/YEwZb+s9Myvt2E0mfUW22L7wrsgCLLcWR0TwtBy0i+zAZGq9NkA869i9INPjLqe76CTiljE8Vp1Eov3n982rVKkkl6xmMM/EGk3CbJ9TzgiePeThoxrHx8aOqi8dJtLajKLpFlALCAtBqandEG74vhbwh3mbNwwvS9eNU0D4LqHNTKPSwDmJfM2MW7jz/gLb2WTpxZf8VFZ18UwNovTHZ/Czvhn20jRvUHXwnedyw7zIYNg+zhPv/1VYi3+xKtkVKfapEsLlAt3mf1aAIJ+8k8AlNr7PQ8g7c4kABerPxyYVLV30X/oekzb5ZoAFtmbKCz0B1LZFMffvNB9IqvoKgOT1GQ8ub+TFZxVCK4Juh0TnkVW7Oi4dBkj4GNwzuBnTaUHwWS9K2aOXAMuNhVqoMNWFchWPbP0vWtCu9bdtTOpbG0MhusLldYiD/U/0/HHd1OGLy129l0fUTbuKdwjtnJIQK0D7Ckfq6WsEFjg4HAujxBYfd9B1oOkkBgGSF7WPNTynmeN378bcdBGp4IVw11Tb34wBcfdG632Y/z/yvfjy3pDWK5r6yf6nTwPMU9Q2BBoOU8DCqnlyDTdmUfmHoUDjy82FFRTLpyIWp+nE1ajR+//KfGDSKpFqOMqbCb/WaZOjohLZ6sZBZn80qxBOsODpCHg/e7U4S2cemuNM+d9U340eQZUUi0AxzXRG3LEznG/u1EJ2+5ctC4Ti8aXFRCjbbY0BMkdvRegWFgjVEh4Xfp0qYjrdwGSief61jAtas0+VgFqeDEMB6GH9nikr4J6jL7m1WDKhJc3v/2MdOfqr9MDp+iiGTfsqux/OJ5frEMO9cw1KwI+ip6b/Piqc7fkJ9DXUI8EY8Qrdnvbs0eUCT4jDSKndirSDYw5OjisiX8HCv+Nd/Cbvfybf/pczLVDeXU7fpk7yt7WTU63GFZJWa3yNJkvXa96x7IJnYBiyCIA4BSjVNMnoHZfY/WzX7N7/xiaMDStrYwwMYuRNdzXZ7NWC6JZ4A3DVK2WVrGquEndrW/96susQ7jy9NqnY9ao05eg53gFrvUANeht30aqhABE/KbFSbXBu8jJqrtejvGlpFK0EYXfSz/GQo2CfPB3q4csQsXNuuwfvwIeRIiZyDAw9E0lJ4CgGcBTsd/w9wn2p98HGaseJrpL+PcorO1KIiOmHZa9dxcm/1wpD4w1GDBOm3BTwBA2OyOczOXhr2kAOSaBSoNjAaKvS24QwngApHgenuTHimLHf6ogdf+Ltb/Zjf5hO5eL6kPlWNra9K4TfKRzJE/qlUR5zj4G0nHbLymf+HlH/Dfa7/+vTr7Nvx+iUvnrsAIEbvAvJAcX+SQkFuFnjzdyZLibhGcGF4KiZmF1K30cw+lP9h4Lo1+3a2BuRWAGeea5uvcLBcni/mVK2KneOwz8okoaMx4pfetDG2vLfFt99lfsGohoVEiUOUiXoFzoefheMX+lYKETNTBvywiQ5WgUgF7MKTSxrFK4mgI4OsutoFpKDBEO7sNDYa5OGbbW3Bb/rqu2s6AgREtkHJlt2mp4lbzLSZeGdJlIlCZ59bS4Aijxx7WCDTOnenjnXWEwwNWFt22ak4cSe0Xls5D6v1AzE1jpppdIG8is/7eAHkE+hDqKb+OfShMVNnQAAAA",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02844402GOVGR23LXTN6&url=%2FDell-Latitude-5490-i5-8350U-Display%2Fdp%2FB07TJ94DZW%2Fref%3Dsr_1_1_sspa%3Fcrid%3DJ4C3YWT4R8AT%26dchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1599061946%26refinements%3Dp_89%253ADell%26rnid%3D2528832011%26sprefix%3Ddell%252Caps%252C398%26sr%3D8-1-spons%26psc%3D1&qualifier=1608107031&id=6668398372901809&widgetName=sp_atf
1,"Dell Inspiron 17 3793 2020 Premium 17.3” FHD Laptop Notebook Computer, 10th Gen 4-Core Intel Core i5-1035G1 1.0 GHz, 16GB RAM, 512GB SSD + 1TB HDD, DVD,Webcam,Bluetooth,Wi-Fi,HDMI, Win 10 Home",$895.00,https://images-na.ssl-images-amazon.com/images/I/613nQILrmKL._AC_SX569_.jpg,https://www.amazon.com/Dell-Inspiron-Notebook-i5-1035G1-Bluetooth/dp/B082MSPDL8/ref=sr_1_2?crid=J4C3YWT4R8AT&dchild=1&keywords=dell+laptop&qid=1599061946&refinements=p_89%3ADell&rnid=2528832011&sprefix=dell%2Caps%2C398&sr=8-2
2,"Dell Gaming G3 15 3500 - 15 Inch FHD 120Hz Refresh Rate, Intel Core i5-10300H 10th Gen, 8GB DDR4 RAM, 512GB SSD, Nvidia Geforce GTX 1650 Ti 4GB GDDR6, Windows 10 Home Eclipse Black",$814.40,https://images-na.ssl-images-amazon.com/images/I/81LyL46b3PL._AC_SX679_.jpg,https://www.amazon.com/Dell-Gaming-G3-3500-i5-10300H/dp/B08DX82SD8/ref=sr_1_4?crid=J4C3YWT4R8AT&dchild=1&keywords=dell+laptop&qid=1599061946&refinements=p_89%3ADell&rnid=2528832011&sprefix=dell%2Caps%2C398&sr=8-4
3,"Latest_Dell Inspiron 13.3"" 7000 2-in-1 Touchscreen Laptop, 10th Generation Intel Core i5-10210U Processor, 8GB Memory, 512GB SSD+ 32GB Optane, Wireless+Bluetooth, Silver, Windows 10",$737.94,https://images-na.ssl-images-amazon.com/images/I/61umoAnQJSL._AC_SX679_.jpg,https://www.amazon.com/Latest_Dell-Touchscreen-Generation-i5-10210U-Processor/dp/B08BZD5N3D/ref=sr_1_5?crid=J4C3YWT4R8AT&dchild=1&keywords=dell+laptop&qid=1599061946&refinements=p_89%3ADell&rnid=2528832011&sprefix=dell%2Caps%2C398&sr=8-5
4,"Dell Inspiron 15 5000 Touchscreen Laptop - 15.6"" LED-Backlit FHD (1920 x 1080), Intel Core i7-1065G7 , 8GB Memory, 512gb SSD, Backlit Keyboard - Silver - i5593-7988SLV-PUS Windos 10 Home (Renewed)",$749.66,https://images-na.ssl-images-amazon.com/images/I/51Szla0HJnL._AC_.jpg,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03954402PN6HVBIKOIZC&url=%2FDell-Inspiron-Touchscreen-Laptop-i5593-7988SLV-PUS%2Fdp%2FB089SR7N1Y%2Fref%3Dsr_1_6_sspa%3Fcrid%3DJ4C3YWT4R8AT%26dchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1599061946%26refinements%3Dp_89%253ADell%26rnid%3D2528832011%26sprefix%3Ddell%252Caps%252C398%26sr%3D8-6-spons%26psc%3D1&qualifier=1608107031&id=6668398372901809&widgetName=sp_mtf
5,"Dell Inspiron 17 3793, i3793-5841BLK-PUS, 10th Generation Intel Core i5-1035G1, 17.3-Inch FHD (1920 X 1080), 8GB x 1 DDR4 2666MHz, 1 TB 5400 RPM, Tray Load DVD Drive",$715.49,https://images-na.ssl-images-amazon.com/images/I/71%2B%2BjSGKTSL._AC_SX679_.jpg,https://www.amazon.com/Dell-i3790-5104BLK-PUS-Generation-i5-10210U-17-3-Inch/dp/B07TQ5CQ1H/ref=sr_1_7?crid=J4C3YWT4R8AT&dchild=1&keywords=dell+laptop&qid=1599061946&refinements=p_89%3ADell&rnid=2528832011&sprefix=dell%2Caps%2C398&sr=8-7
6,"Dell Inspiron 14 14“ HD Anti-Glare LED-Backlit Laptop for Students and Business, Intel Pentium Gold 5405U, 4GB DDR4, 128GB NVMe SSD, HDMI, 802.11ac, Bluetooth, Webcam, Windows 10 in S Mode",$407.00,https://images-na.ssl-images-amazon.com/images/I/61iS-qrtaXL._AC_SX569_.jpg,https://www.amazon.com/Dell-Inspiron-14-Anti-Glare-LED-Backlit/dp/B089Y7ZSJP/ref=sr_1_8?crid=J4C3YWT4R8AT&dchild=1&keywords=dell+laptop&qid=1599061946&refinements=p_89%3ADell&rnid=2528832011&sprefix=dell%2Caps%2C398&sr=8-8
7,"2020 Dell Inspiron 14"" Laptop Computer 10th Gen Intel i3 1005G1 Up to 3.4GHz 4GB DDR4 RAM 128GB PCIe SSD Untel UHD Graphics HDMI 802.11ac WiFi Bluetooth 4.1 Windows 10",$438.00,https://images-na.ssl-images-amazon.com/images/I/61bqbM9ZyGL._AC_SX569_.jpg,https://www.amazon.com/Dell-Inspiron-Computer-Graphics-Bluetooth/dp/B081ZFFJ46/ref=sr_1_10?crid=J4C3YWT4R8AT&dchild=1&keywords=dell+laptop&qid=1599061946&refinements=p_89%3ADell&rnid=2528832011&sprefix=dell%2Caps%2C398&sr=8-10
8,"Dell Latitude 5410 14"" Notebook - Full HD - 1920 x 1080 - Core i7 i7-10610U 10th Gen 1.8GHz Hexa-core (6 Core) - 16GB RAM - 256GB SSD","$1,205.06",https://images-na.ssl-images-amazon.com/images/I/41BmhVffukL._AC_.jpg,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0648182M8QT4A0QOP61&url=%2FDell-Latitude-5410-Notebook-i7-10610U%2Fdp%2FB08B9VRDSR%2Fref%3Dsr_1_11_sspa%3Fcrid%3DJ4C3YWT4R8AT%26dchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1599061946%26refinements%3Dp_89%253ADell%26rnid%3D2528832011%26sprefix%3Ddell%252Caps%252C398%26sr%3D8-11-spons%26psc%3D1%26smid%3DA3DG6X8R7E7914&qualifier=1608107031&id=6668398372901809&widgetName=sp_mtf
9,"Dell XPS 15 7590 Laptop 15.6 inch, 4K UHD OLED InfinityEdge, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 256GB SSD, 16GB RAM, Windows 10 Home, XPS7590-7572SLV-PUS, 15-15.99 inches","$1,760.12",https://images-na.ssl-images-amazon.com/images/I/91WgL3IbNIL._AC_SX679_.jpg,https://www.amazon.com/Dell-XPS7590-7572SLV-PUS-i7-9750H-DDR4-2666MHz-GeForce/dp/B07T1DTF4F/ref=sr_1_12?crid=J4C3YWT4R8AT&dchild=1&keywords=dell+laptop&qid=1599061946&refinements=p_89%3ADell&rnid=2528832011&sprefix=dell%2Caps%2C398&sr=8-12
