,Title,Company,Job Description,Seniority Level,Employment Type,Industry,Job Function,Link
0,Social Media Associate,Brady,"Brady has one powerful mission — to unite all Americans against gun violence.
 Each year, 40,000 people in the U.S. die from gun violence. We can change that. No organization has a more comprehensive and systematic approach to ending America’s gun violence epidemic. They say it can't be done. But we know Americans can do anything. Even end this epidemic of gun violence. For we are more powerful than any problem when we work as one. Now is the time to unite people, from coast to coast, young and old, liberal and conservative, fed up and fired up, and free our country from what is killing us. It's in our hands.",Entry level,Full-time,Public Safety,Writing/Editing,https://www.linkedin.com/jobs/view/social-media-associate-at-brady-2257539379?refId=40c5701b-3902-4f73-87fb-b16bcb516ef7&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
1,"Customer Experience Manager - Washington, DC (City Center)",Tesla,"The Role

Our Customer Experience Managers are seasoned retail veterans and naturally charismatic leaders. In this role, you will be responsible for collaborating with your Store leader to lead the recruitment, training, development and overall management of a dynamic store team that will help Tesla accelerate the world’s transition to sustainable transportation.

You will be challenged to support your team through training, coaching, motivating and analyzing sales performance. You will be tasked with identifying events in the local market that will maximize Tesla’s brand exposure and create more Tesla owners. You will be measured and rewarded by your ability to achieve a cumulative store sales target, drive optimal team performance, and maintain store operations.

To succeed at Tesla, you must be energetic, highly organized, and hard working. You should have a passion for sustainable energy and the ability to create exceptional customer experiences. While individual contributions will be recognized, teamwork is essential to achieve the highest level of success. We will reward team players who help others succeed and empower the team around them.



BUSINESS HEALTH

leadership - Ability to oversee Delivery Operations during Manager on Duty Shifts



best interest while also supporting Tesla’s mission

EMPLOYEE ENGAGEMENT

Human Resources effectively

BRAND STANDARDS



work with

clean driving history",Associate,Full-time,Automotive,Customer Service,https://www.linkedin.com/jobs/view/customer-experience-manager-washington-dc-city-center-at-tesla-2226323005?refId=40c5701b-3902-4f73-87fb-b16bcb516ef7&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
2,Administrative Roles,The Ford Agency,"The Ford Agency is looking for candidates interested in substantive administrative positions with our DMV-based clients. We offer temporary and temp-to-hire roles with a variety of organizations--from law firms to non-profits, foundations to consulting firms. Position titles include Receptionist, Administrative Assistant, Staff Assistant, Operations Assistant Executive Assistant, and more. Candidates at all points in their career are welcome to send their resume!",Entry level,Temporary,Executive Office,Administrative,https://www.linkedin.com/jobs/view/administrative-roles-at-the-ford-agency-2185705124?refId=40c5701b-3902-4f73-87fb-b16bcb516ef7&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
3,"Press Assistant, Policy Communications",Amazon,"Description

The Press Assistant, Policy Communications, will be part of the strategic communications team that supports Amazon’s public policy team. The ideal candidate will be self-motivated and super organized. They will support external communications programs, events, and day-to-day activities to advance the company’s public policy goals.



Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.







- Amazon.com Services LLC
Job ID: A1326380",Not Applicable,Full-time,Computer Software,Marketing,https://www.linkedin.com/jobs/view/press-assistant-policy-communications-at-amazon-2226302083?refId=40c5701b-3902-4f73-87fb-b16bcb516ef7&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
4,Research Associate,International Center for Research on Women (ICRW),"Primary Role

The Research Associate, as directed by the applicable Project Directors, will be responsible for providing administrative, research and program management assistance on a variety of projects in support of a portfolio of work that includes sexual and reproductive health and rights, youth development, child marriage, and girls’ education, among other topics.



Bachelor’s degree in non-profit administration/management, business or a related field (accounting etc.).



Minimum two (2) years relevant work experience and some non-profit management experience. Knowledge of gender, sexual and reproductive health, and international development issues, as well as other languages such as French, not required but a plus. Experience managing USAID, Bill and Melinda Gates, DFID, and similar awards a plus.



Excellent writing, communication and analytical skills; demonstrated resourcefulness and attention to detail. Computer literacy required to include proficiency in the MS Office Suite (Outlook, Word, Excel). Experience with budget management spreadsheets and software, program management software (E.g PMDPRO) and contracts development and management. Must be a team player with the ability to work independently and under pressure, with the ability to organize and prioritize tasks to meet project deadlines.


Interested candidates are expected to submit a cover letter, resume and writing sample. Due to the large volume of responses we receive, ICRW is not able to provide candidacy status on an individual basis. Only candidates selected for an interview will be contacted.

ICRW is committed to promoting a culture of equity through our recruitment processes, staff training, policies & procedures, Board membership, and research programming. We believe that all people deserve an equal opportunity for employment, advancement, and fulfillment - regardless of race, color, age, religion, sex, sexual orientation, gender identity & expression, national origin, disability, or veteran status. We are committed to expanding our definition for what diversity means, moving beyond the binaries, and setting new standards for ourselves and across sectors.

ICRW is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity/expression, national origin, disability, protected veteran status, or any other characteristic protected under federal, state or local law, where applicable. ICRW is an E-Verify Employer.",Associate,Contract,Nonprofit Organization Management,Research,https://www.linkedin.com/jobs/view/research-associate-at-international-center-for-research-on-women-icrw-2255708016?refId=40c5701b-3902-4f73-87fb-b16bcb516ef7&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
5,Planning Analyst,Nestlé,"Are you looking for an opportunity to be part of an agile, results oriented team where your experience will allow you to thrive and make a substantial impact? Are you known as a leader in your field? Are your ready for the next level and challenge in your career?

If this sounds like you, consider your next starring role as a Finance Analyst supporting the International Premium Waters Division at Nestle.

We are looking for a dynamic, collaborative, Finance Analyst who can think out of the box to get results.

As the Finance co-pilot analyst you will be responsible for supporting the brand as a strategic business partner to the commercial team including brand marketing, sales, and other key business functions.

This co-pilot role is a great opportunity that will see you playing a co-leadership role by providing the team with accurate and timely financial information and analyses, making and implementing sound recommendations to profitably grow the business, as well optimizing existing product portfolios. You will operate as a key co-pilot resource, supporting the finance manager in streamlining processes and implementing standard methodologies across the businesses. Key areas of responsibility include new product feasibility, business/portfolio optimization, commercial investment return on investment analyses, management of the advertising & promotion (PFME) budget, ongoing business reviews, and special projects.

You have the ability to think strategically while dealing with complexity, be comfortable with ambiguity, prioritize workload efficiently in an environment of competing objectives, and effectively interact, collaborate and communicate across multiple functions to promote alignment and influence business results.



Position responsibilities include, but are not limited to, the following:









Finance / Accounting / Audit



US-VA-Arlington-Arlington



Nestle USA



Full-time



Ongoing",Not Applicable,Full-time,Consumer Goods,Finance,https://www.linkedin.com/jobs/view/planning-analyst-at-nestl%C3%A9-2224771170?refId=40c5701b-3902-4f73-87fb-b16bcb516ef7&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
6,Manager – Business Operations & Planning,Facebook,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.
In this role, your primary responsibility will be to lead a team to develop and facilitate sound business practices in the project controls, finance/budget and contracting programs to support and enable the Facilities Operations teams be successful. This will include helping them to manage their project portfolio, operations and maintenance and operational budget needs and aid in the improved predictability of long-range budget planning. You will be responsible for organizing budget inputs on both Opex and Capex, providing summary reporting and surfacing insights with key stakeholders, tracking procurement actions, and improving various process efficiency. You will be expected to use data to provide trend analysis and make meaningful recommendations to drive action towards more predictable financial performance based on known business changes. The ideal candidate will have a proven track record in managing a high performing team, strategic and tactical execution of finance and business processes, predictive analysis of large data sets and a good understanding of processes related to operations and maintenance and project management in critical environments.
Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.

Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",Mid-Senior level,Full-time,Internet,Information Technology,https://www.linkedin.com/jobs/view/manager-%E2%80%93-business-operations-planning-at-facebook-2255516873?refId=40c5701b-3902-4f73-87fb-b16bcb516ef7&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
7,Data Analyst - Public Trust,Deloitte,"Data Analyst – Public Trust

Do you want to build your brand by working for a leading consulting firm that drives eminence in the marketplace? Are you interested in leveraging your analytical skills and strategic ideas to improve mission execution? If so, Deloitte could be the place for you! Our Federal Strategy and Analytics team brings deep industry expertise, rigorous analytical capabilities and a pragmatic mindset to help solve our client’s most complex business problems. Join our team and play a key role in helping to design our clients’ roadmap to the future and help transform the Federal marketplace.



The Data Analytics Consultant will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to enterprise data to advance and enable key mission outcomes. In this role, they will support all phases of analytic work product development, from the identification of key business questions to ETL, from performing analyses to delivery of insights to decision-makers, with particular attention to the interplay between data and the business processes that produce and consume it.

Travel up to 10% (While 10% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice.)



Analytics & Cognitive

In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.

The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.

















At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center.



At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.



Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives. Learn more about Life at Deloitte.



Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte’s impact on the world.



We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you’re applying to. Check out recruiting tips from Deloitte professionals.

As used in this posting, “Deloitte” means Deloitte Consulting LLP, a subsidiary of Deloitte LLP. Please see www.deloitte.com/us/about for a detailed description of the legal structure of Deloitte LLP and its subsidiaries. Certain services may not be available to attest clients under the rules and regulations of public accounting.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law.

Requisition code: E21ROSCCONSP114131",Not Applicable,Full-time,Accounting,Management,https://www.linkedin.com/jobs/view/data-analyst-public-trust-at-deloitte-2227376016?refId=40c5701b-3902-4f73-87fb-b16bcb516ef7&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
8,Management and Program Analyst,U.S. Department of the Interior,"Overview
Open & closing dates

Opening and closing dates10/27/2020 to 11/02/2020
Service

Competitive









Duties



The Department of the Interior is devoted to protecting and preserving the natural resources of this great nation, including National Parks, Landmarks, and the well-being of communities, including those of Native American, Alaska Natives and affiliated Islanders.



This position is located within the Department of the Interior, Office of the Assistant Secretary - Policy, Management and Budget (AS-PMB), Washington, DC and reports to the Chief of Staff to the Assistant Secretary.
GS-14

The Office of the Secretary has determined that the duties of this position are eligible for telework with supervisor approval.


Travel Required

Occasional travel - You may be expected to travel for this position.

Supervisory status

No

Promotion Potential

14



Conditions of Employment






To qualify for this position you must meet the Specialized Experience for the series to which you are applying.



To qualify for the , you must possess at least one full year of specialized experience equivalent to the level in the Federal service, or comparable experience not gained through Federal service. Specialized experience is experience that equipped the applicant with the particular knowledge, skills, and abilities to perform successfully the duties of the position, and that is typically in or related to work of the position to be filled. Specialized experience is defined as demonstrated experience: 1) advising management of potential issues and impacts of policies and programs; 2) preparing reports and papers supporting positions on policies and programs; 3) presenting findings, recommendations and/or alternatives for resolving policy issues to management.



All qualification requirements must be met by the closing date of this announcement.
Merit Promotion candidates must also meet Time-in-Grade requirements by the closing date of the announcement.

Education

Additional information

Applicants who include vulgar, offensive, or inappropriate language or information in their application package will be ineligible for further consideration for this position.
Identification of promotion potential in this announcement does not constitute a commitment or an obligation on the part of management to promote the employee selected at some future date. Promotion will depend upon administrative approval and the continuing need for and performance of higher-level duties.
The application contains information subject to the Privacy Act (P.L. 93-579, 5 USC 552a). The information is used to determine qualifications for employment, and is authorized under Title 5, USC, Section 3302 and 3361.
: All Department of the Interior (DOI) employees are subject to the conflict of interest restrictions imposed upon all employees of the Executive Branch of the Federal Government and may be required to file a Financial Disclosure Report. In addition, DOI employees, GS-15 and above, who work in the Office of the Secretary; along with the Bureau of Ocean Energy Management (BOEM) and the Bureau of Safety and Environmental Enforcement (BSEE) employees (at ALL grade levels), are further restricted concerning their interests in Federal lands and resources administered or controlled by the Department of the Interior. This includes holding stock in energy corporations which lease Federal lands (e.g.: oil, gas, coal, alternative energy resources, etc.). If you have any such investments you should contact the DOI, BOEM or BSEE Ethics Office before accepting employment. DOI employees are held to the highest level of integrity. Employees must be objective and impartial in the performance of their work. All potential issues (e.g.: work-related interactions with friends, family members, or previous employers) must be disclosed at the time of application or during the interview process.
NOTICE: This employer participates in E-Verify and will utilize your Form I-9 information to confirm you are authorized to work in the U.S.
A preliminary background check must be completed before a new employee can begin work with the U.S. Department of the Interior. The preliminary background check consists of a search of Office of Personnel Management and Department of Defense background investigation files and an FBI National Criminal History Fingerprint Check; it may take up to 3 weeks to complete. If selected for this position, you will be extended a tentative offer of employment pending a satisfactory background check. Current Federal employees or individuals with an existing completed background investigation may not be required to undergo another background check; these will be handled on a case-by-case basis in coordination with the Bureau security office.

How You Will Be Evaluated

You will be evaluated for this job based on how well you meet the qualifications above.

Once the application process is complete, we will review your application to ensure you meet the job requirements. To determine if you are qualified for this job, a review of your resume, supporting documentation and responses to the online questionnaire will be made. Your responses to the online assessment will be used to measure the degree to which your background matches the requirements for this position. However, your resume must support your responses to the scored occupational questionnaire, or your score may be lowered. The best qualified candidates will be identified for referral to the hiring manager and may be invited for an interview.
Your answers to the on-line assessment will be used to evaluate your competencies in the following areas:
DUE WEIGHT
Please submit 1) a copy of your most recent performance appraisal/evaluation and 2) a list of any awards (e.g. superior performance awards, special act or achievement awards, quality step increase, etc.) you received in the last 5 years. Any performance appraisal/evaluation and award documentation you provide will be forwarded to the selecting official. The selecting official will review this documentation and give it due weight consideration during the overall selection process.
If you do not have your most recent performance appraisal/evaluation, please submit a statement as to why it is not available. Please indicate if any prior performance appraisals/evaluations were at an acceptable level.



Background checks and security clearance

Security clearance



Drug test required

No

Position sensitivity and risk

Moderate Risk (MR)

Trust determination process

Credentialing , Suitability/Fitness

This job is open to






Clarification from the agency

This is a Merit Promotion announcement for Department of the Interior employees and DOI employees who are eligible under the hiring paths listed. For further clarification please click here: https://www.bsee.gov/what-we-do/administrative-services/human-resources/eligibility",Associate,Full-time,Nonprofit Organization Management,Management,https://www.linkedin.com/jobs/view/management-and-program-analyst-at-u-s-department-of-the-interior-2256740344?refId=40c5701b-3902-4f73-87fb-b16bcb516ef7&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
9,Audience Insights and Development Analyst,POLITICO,"POLITICO’s mission from the very beginning was to win the audience. We dedicate ourselves to providing accurate, non-partisan, impactful information to the right people at the right time so that they can act with confidence and speed. We experiment to avoid being disrupted and we have fun disrupting others. And we are not afraid to risk failure if it means being the best at what we do.",Associate,Full-time,Online Media,Sales,https://www.linkedin.com/jobs/view/audience-insights-and-development-analyst-at-politico-2257489904?refId=40c5701b-3902-4f73-87fb-b16bcb516ef7&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
