type,title,year
Barça Honours,La Liga,"['2004/05 ', '2005/06 ', '2008/09 ', '2009/10 ', '2010/11 ', '2012/13 ', '2014/15 ', '2015/16 ', '2017/18 ', '2018/19']"
Barça Honours,Champions League,"['2005/06 ', '2008/09 ', '2010/11 ', '2014/15']"
Barça Honours,Copa del Rey,"['2008/09 ', '2011/12 ', '2014/15 ', '2015/16 ', '2016/17 ', '2017/18']"
Barça Honours,Club World Cup,"['2009/10 ', '2011/12 ', '2015/16']"
Barça Honours,European Super Cup,"['2009/10 ', '2011/12 ', '2015/16']"
Barça Honours,Spanish Super Cup,"['2005/06 ', '2006/07 ', '2009/10 ', '2010/11 ', '2011/12 ', '2013/14 ', '2016/17 ', '2018/19']"
Argentina,Under-20 World Cup,['2004/05']
Argentina,Olympic Games Gold Medal,['2008']
Individual,FIFA Ballon d'Or,"['2009 ', '2010 ', '2011 ', '2012 ', '2015 ', '2019']"
Individual,FIFA World Cup Golden Ball,['2014']
Individual,FIFA World Player,['2009']
Individual,Golden Shoe,"['2009/10 ', '2011/12 ', '2012/13 ', '2016/17 ', '2017/18 ', '2018/19']"
Individual,Best Player in Europe,"['2010/11 ', '2014/15']"
Individual,La Liga Top Scorer,"['2009/10 ', '2011/12 ', '2012/13 ', '2016/17 ', '2017/18 ', '2018/19']"
Individual,Champions League Top Scorer,"['2008/09 ', '2009/10 ', '2010/11 ', '2011/12 ', '2014/15 ', '2018/19']"
